date,EU-28 (excl NL),Austria,Belgium,Bulgaria,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,United Kingdom
24/02/2015,0.236124299,0.059023064,0.029861925,0.62774639,0.549683376,0.281563963,0.081268347,0.040670593,0.470129815,0.356176954,0.156857391,0.191975683,0,0.84690429,0.081850504,0.183038358,0.152647863,0.18794123,0.045093271,0.325833365
25/02/2015,0.251779127,0.090784693,0.036512456,0.632332302,0.557460486,0.304977828,0.077933172,0.042719991,0.513770325,0.364578199,0.156234455,0.167920774,0,0.86166592,0.179377544,0.188967189,0.151313849,0.183953604,0.059732067,0.340603432
26/02/2015,0.251548036,0.099759615,0.037139589,0.585375406,0.57150855,0.305194979,0.074812432,0.044128469,0.511933165,0.397675264,0.155210273,0.147142463,0,0.848547008,0.206014609,0.199054012,0.166706089,0.222759798,0.070914478,0.314949508
27/02/2015,0.255771194,0.096421892,0.031706388,0.598638913,0.525436682,0.360645723,0.074703203,0.041641364,0.534528952,0.402503839,0.159479238,0.182148883,0,0.851180032,0.191491061,0.203663008,0.190461898,0.277859205,0.073766534,0.311452445
28/02/2015,0.257979224,0.006552385,0.020158045,0.556093311,0.51528406,0.340881344,0.071817152,0.015278564,0.606262426,0.439059245,0.173603516,0.135196458,0,0.816892885,0.250353779,0.188334727,0.152200561,0.214829004,0.073688268,0.318788903
01/03/2015,0.195080574,0.003596507,0.016899468,0.521419574,0.447099475,0.263001735,0.072383258,0.006892052,0.342868021,0.387805016,0.126438528,0.137559572,0,0.739334023,0.049821675,0.222739371,0.145943253,0.19776441,0.052635604,0.292378878
02/03/2015,0.219959352,0.051780248,0.018458527,0.548169916,0.480227617,0.314109429,0.072480328,0.021849952,0.382676388,0.358617827,0.145224707,0.17288969,0,0.755655217,0.230168493,0.2073552,0.157622758,0.20366906,0.103412622,0.310124674
03/03/2015,0.229699144,0.04904583,0.011172879,0.559501434,0.510315948,0.337545725,0.073163733,0.034022032,0.391359137,0.349826654,0.145595942,0.192209725,0,0.731800127,0.284947622,0.18560369,0.184332959,0.266154389,0.144672444,0.324194458
04/03/2015,0.23457096,0.043260827,0.01801269,0.512095479,0.56755837,0.323257918,0.06808463,0.037706141,0.434993619,0.365260062,0.143704196,0.194714905,0,0.757893331,0.222164728,0.185999766,0.196891435,0.294562964,0.078238731,0.336559301
05/03/2015,0.251793133,0.0483977,0.018964017,0.559465787,0.60174999,0.341670865,0.062950167,0.037574428,0.524654652,0.37675654,0.144060141,0.144341028,0,0.816009187,0.084548763,0.17294984,0.214867233,0.329093821,0.050582391,0.351379849
06/03/2015,0.254719105,0.080227937,0.018894479,0.509835241,0.591224684,0.259171737,0.074077719,0.037007886,0.542424933,0.342555434,0.14553233,0.096013702,0,0.813286621,0.249033977,0.15665116,0.208851749,0.312790742,0.097736501,0.320458461
07/03/2015,0.226313906,0.007656677,0.018538331,0.463554449,0.581906778,0.215117929,0.069832867,0.032907082,0.431753004,0.354283198,0.161082681,0.124808206,0,0.763204306,0.298905426,0.183199947,0.153895665,0.195651332,0.111313358,0.282447579
08/03/2015,0.227397456,0.003741893,0.020262045,0.469937706,0.581496152,0.216685302,0.069308231,0.010801968,0.43987742,0.291502669,0.165702549,0.194031391,0,0.744046905,0.293076797,0.209829315,0.137825178,0.193811896,0.088998673,0.328356431
09/03/2015,0.269234036,0.087641551,0.018633146,0.564629982,0.625338425,0.284469662,0.061679463,0.033450049,0.528861714,0.329355281,0.14736503,0.124806338,0,0.822993057,0.269622212,0.191119612,0.200655134,0.30364859,0.18064321,0.341631981
10/03/2015,0.278045573,0.102140347,0.020243985,0.595986405,0.618729803,0.203645249,0.086425401,0.037262604,0.540919941,0.344369374,0.146875101,0.202060453,0,0.815987991,0.292587998,0.170997476,0.225020413,0.353984369,0.224098463,0.350697776
11/03/2015,0.276288682,0.085740559,0.018953229,0.607763629,0.591178155,0.287148936,0.091751648,0.03773522,0.537224002,0.326954471,0.145106349,0.1443155,0,0.8313389,0.300087014,0.161984943,0.212674254,0.310304916,0.214760605,0.340902105
12/03/2015,0.277866205,0.102823433,0.018849497,0.619666445,0.609802311,0.385661518,0.091880408,0.036954849,0.556689752,0.342295783,0.142536051,0.162456785,0,0.816717968,0.295792762,0.158438777,0.217201238,0.339849148,0.171010458,0.350435886
13/03/2015,0.264483118,0.092788941,0.020129807,0.603574563,0.595358954,0.267433126,0.085546918,0.032657924,0.515747587,0.313308132,0.143980113,0.193020143,0,0.811614209,0.279565106,0.183075192,0.190485641,0.279286906,0.116708088,0.377166082
14/03/2015,0.261122963,0.049936822,0.022424908,0.550212339,0.58797054,0.297403387,0.071312962,0.022920799,0.529391959,0.349538249,0.144265825,0.181783298,0,0.802942699,0.319800255,0.215999444,0.155108543,0.184526057,0.096060956,0.390520648
15/03/2015,0.236536942,0.035650119,0.022381974,0.506404798,0.541219325,0.275605004,0.069084597,0.014808861,0.432386542,0.340782112,0.159307192,0.176669161,0,0.772166484,0.353707166,0.194654299,0.168505752,0.20085868,0.128139944,0.366893461
16/03/2015,0.23744664,0.071729139,0.02040155,0.466760295,0.550980999,0.205896617,0.0808906,0.037223167,0.396590795,0.292776876,0.137865551,0.183663551,0,0.760098846,0.308174451,0.207928351,0.154845552,0.173427414,0.192739282,0.358024544
17/03/2015,0.256687422,0.094761794,0.020204724,0.49023396,0.581909642,0.266376309,0.085145172,0.042269265,0.477731713,0.277428325,0.145786493,0.195842748,0,0.763760114,0.287058375,0.18470303,0.167239951,0.208554346,0.194980099,0.36250767
18/03/2015,0.270799717,0.062453945,0.020418599,0.530140458,0.578229894,0.38384999,0.082154938,0.039684618,0.532804596,0.338893809,0.146880725,0.185903455,0,0.80794017,0.289616964,0.173667492,0.264867854,0.439275892,0.166958247,0.360385724
19/03/2015,0.273838901,0.069357982,0.019512929,0.526678606,0.565062008,0.434402569,0.079572523,0.040781255,0.567484039,0.358210463,0.129334842,0.181838819,0,0.851738774,0.288052619,0.159934538,0.279018831,0.476197109,0.11318463,0.348990594
